feature,value,n_train,n_test,mean_PCE_train,mean_PCE_test
has_Pb,0,147,263,7.320521700680271,9.986508745247148
has_Pb,1,2762,3868,17.950435354815355,20.13960273784902
has_Sn,0,2751,3822,17.685128117048347,19.855438092621664
has_Sn,1,158,309,12.67994740506329,15.0127857605178
has_Cs,0,1627,1946,17.219232606023354,19.000977029804726
has_Cs,1,1282,2185,17.65953797971919,19.931594457665906
has_FA,0,1462,1419,15.221025307797538,16.01432255109232
has_FA,1,1447,2712,19.62825165169316,21.313462938790558
has_MA,0,1157,1938,15.510193993085567,18.64932879256966
has_MA,1,1752,2193,18.670048339041095,20.238958499772004
has_I,0,104,151,8.17048076923077,9.576429139072848
has_I,1,2805,3980,17.755967607843136,19.869445826633164
has_Br,0,1597,2250,16.87046442705072,19.440172528888887
has_Br,1,1312,1881,18.073999580792684,19.556643806485912
has_Cl,0,2615,3525,17.19507462332696,19.06912090496454
has_Cl,1,294,606,19.35407823129252,21.960039603960396
mixed_FA_MA_Cs,0,1689,2021,15.525794819419774,17.437218060366156
mixed_FA_MA_Cs,1,1220,2110,20.026353844262292,21.46247274407583
mixed_halide,0,1543,2054,16.188497530784186,18.368460559883154
mixed_halide,1,1366,2077,18.796755087847732,20.605496966779008
Pb_Sn_mixed_detected,0,2848,4009,17.406321678370787,19.461392165128462
Pb_Sn_mixed_detected,1,61,122,17.737950819672132,20.53863934426229
