category,n_train,mean_PCE_train,n_test,mean_PCE_test,feature_group,n_total,low_support_flag
NIP,2028.0,17.613898150887575,2607,19.339133367855773,architecture_final,4635.0,False
PIN,881.0,16.951457082860387,1524,19.756768044619424,architecture_final,2405.0,False
LEAD_BASED,2705.0,17.958572070240294,3751,20.13147944281525,lead_status_final,6456.0,False
LEAD_FREE,147.0,7.320521700680272,261,9.89387662835249,lead_status_final,408.0,False
MIXED_PB_SN,57.0,17.564298245614033,119,20.428184873949583,lead_status_final,176.0,False
C60,5.0,13.724,22,19.243636363636366,ETL_grouped,27.0,True
C60/BCP,208.0,16.926600961538462,535,20.339659439252337,ETL_grouped,743.0,False
C60/SnO2,4.0,20.9525,23,22.682608695652174,ETL_grouped,27.0,True
ICBA/BCP,9.0,11.975555555555555,37,12.23008108108108,ETL_grouped,46.0,True
LiF/C60/BCP,12.0,20.0275,21,22.176666666666666,ETL_grouped,33.0,True
MISSING,17.0,15.298823529411763,28,16.374285714285715,ETL_grouped,45.0,True
OTHER,862.0,17.577723654292342,1132,19.534492049469964,ETL_grouped,1994.0,False
PC60BM/BCP,13.0,13.435899230769232,11,19.32,ETL_grouped,24.0,True
PC61BM,33.0,16.554545454545455,25,18.229200000000002,ETL_grouped,58.0,False
PC61BM/BCP,120.0,17.87484166666667,199,20.31740552763819,ETL_grouped,319.0,False
PCBM,44.0,13.32,36,16.1725,ETL_grouped,80.0,False
PCBM/BCP,175.0,17.16898857142857,302,19.909791390728476,ETL_grouped,477.0,False
PCBM/C60/BCP,22.0,18.870454545454546,24,21.3425,ETL_grouped,46.0,True
SnO2,624.0,19.516926282051283,959,21.042034921793537,ETL_grouped,1583.0,False
SnO2/KCl,6.0,24.348333333333333,47,22.741063829787233,ETL_grouped,53.0,False
SnO2/PCBA,10.0,16.893,10,17.506,ETL_grouped,20.0,True
TiO2,258.0,16.188313565891473,279,17.31563727598566,ETL_grouped,537.0,False
TiO2/SnO2,9.0,18.533333333333335,22,20.967727272727274,ETL_grouped,31.0,True
ZnO,19.0,10.607894736842105,10,13.044999999999998,ETL_grouped,29.0,True
bl-TiO2/mp-TiO2,16.0,17.870625,10,14.869,ETL_grouped,26.0,True
c-TiO2/SnO2,14.0,20.435,21,23.15714285714286,ETL_grouped,35.0,True
compact/mesoporous TiO2,429.0,15.70997846153846,378,15.63575238095238,ETL_grouped,807.0,False
2PACz,10.0,20.3641,37,20.645675675675676,HTL_grouped,47.0,True
Carbon,9.0,12.476666666666667,20,10.5425,HTL_grouped,29.0,True
CuSCN,17.0,12.982529411764705,20,11.559999999999999,HTL_grouped,37.0,True
MISSING,198.0,11.28928787878788,284,14.013627464788732,HTL_grouped,482.0,False
MeO-2PACz,18.0,18.731333333333332,106,22.09198113207547,HTL_grouped,124.0,False
NiOx,128.0,16.2778203125,100,17.24542,HTL_grouped,228.0,False
NiOx/Me-4PACz,,,44,23.129772727272726,HTL_grouped,44.0,True
NiOx/MeO-2PACz,2.0,21.095,32,22.1876875,HTL_grouped,34.0,True
NiOx/PTAA,9.0,19.186666666666667,11,20.203636363636363,HTL_grouped,20.0,True
OTHER,653.0,17.601422664624806,1159,20.093718041415013,HTL_grouped,1812.0,False
P3HT,38.0,12.430236842105263,45,15.314888888888888,HTL_grouped,83.0,False
PEDOT:PSS,203.0,12.6466339408867,270,14.344347037037037,HTL_grouped,473.0,False
PTAA,197.0,18.878269035532995,222,19.23849725225225,HTL_grouped,419.0,False
PTAA/PFN-Br,20.0,19.244999999999997,5,19.552,HTL_grouped,25.0,True
Spiro-OMeTAD,1407.0,18.912897974413646,1776,20.892402978603602,HTL_grouped,3183.0,False
Cs,421.0,13.110897862232779,559,15.273254382826476,cation_family,980.0,False
FA,247.0,17.564479554655872,642,20.62601401869159,cation_family,889.0,False
MA,780.0,16.79986153846154,666,17.07965990990991,cation_family,1446.0,False
MIXED_FA_MA_CS,1220.0,20.026353844262292,2110,21.46247274407583,cation_family,3330.0,False
OTHER_OR_UNCLEAR,241.0,13.531373443983403,154,13.544896103896106,cation_family,395.0,False
Br,87.0,7.3805747126436785,128,8.7657015625,halide_family,215.0,False
Br+Cl,2.0,21.03,3,25.150000000000002,halide_family,5.0,True
Cl,9.0,11.481111111111112,11,10.253636363636362,halide_family,20.0,True
I,1441.0,16.773894302567662,1906,19.075670089192023,halide_family,3347.0,False
I+Br,1081.0,18.584272386679004,1482,19.97477948717949,halide_family,2563.0,False
I+Br+Cl,142.0,20.699429577464787,268,22.335686567164178,halide_family,410.0,False
I+Cl,141.0,18.477943262411348,324,22.017222222222223,halide_family,465.0,False
OTHER_OR_UNCLEAR,6.0,10.371666666666668,9,15.08788888888889,halide_family,15.0,True
