feature_encoded,coefficient,feature,abs_coefficient
categorical__lead_status_final_LEAD_FREE,-5.569293713318971,lead_status_final_LEAD_FREE,5.569293713318971
categorical__halide_family_Br,-4.791466748262845,halide_family_Br,4.791466748262845
categorical__ETL_grouped_ZnO,-4.434350991329363,ETL_grouped_ZnO,4.434350991329363
categorical__ETL_grouped_ICBA/BCP,3.469038341393142,ETL_grouped_ICBA/BCP,3.469038341393142
categorical__lead_status_final_LEAD_BASED,3.100225687552623,lead_status_final_LEAD_BASED,3.100225687552623
categorical__ETL_grouped_SnO2/KCl,2.7231547949849233,ETL_grouped_SnO2/KCl,2.7231547949849233
categorical__cation_family_MIXED_FA_MA_CS,2.6917193284302283,cation_family_MIXED_FA_MA_CS,2.6917193284302283
categorical__cation_family_OTHER_OR_UNCLEAR,-2.6466424712802064,cation_family_OTHER_OR_UNCLEAR,2.6466424712802064
categorical__lead_status_final_MIXED_PB_SN,2.4690680257738187,lead_status_final_MIXED_PB_SN,2.4690680257738187
categorical__HTL_grouped_MISSING,-2.4464154153879725,HTL_grouped_MISSING,2.4464154153879725
categorical__ETL_grouped_PCBM,-2.268668809507123,ETL_grouped_PCBM,2.268668809507123
categorical__halide_family_I+Br+Cl,2.1877403769645576,halide_family_I+Br+Cl,2.1877403769645576
categorical__cation_family_FA,2.0155724147773797,cation_family_FA,2.0155724147773797
categorical__HTL_grouped_Spiro-OMeTAD,1.9908248656590943,HTL_grouped_Spiro-OMeTAD,1.9908248656590943
categorical__ETL_grouped_PC60BM/BCP,-1.9451939960710847,ETL_grouped_PC60BM/BCP,1.9451939960710847
categorical__ETL_grouped_C60,-1.8639505178113986,ETL_grouped_C60,1.8639505178113986
categorical__HTL_grouped_PEDOT:PSS,-1.7221420101723413,HTL_grouped_PEDOT:PSS,1.7221420101723413
categorical__cation_family_Cs,-1.6557315193759599,cation_family_Cs,1.6557315193759599
categorical__ETL_grouped_MISSING,-1.6195730463325633,ETL_grouped_MISSING,1.6195730463325633
categorical__HTL_grouped_CuSCN,-1.4605177293937388,HTL_grouped_CuSCN,1.4605177293937388
categorical__HTL_grouped_Carbon,-1.3990534426290417,HTL_grouped_Carbon,1.3990534426290417
categorical__HTL_grouped_2PACz,1.3695657972751318,HTL_grouped_2PACz,1.3695657972751318
categorical__halide_family_I+Cl,1.36334411437052,halide_family_I+Cl,1.36334411437052
categorical__ETL_grouped_PCBM/C60/BCP,1.3080263313073062,ETL_grouped_PCBM/C60/BCP,1.3080263313073062
categorical__ETL_grouped_c-TiO2/SnO2,1.2583664222461326,ETL_grouped_c-TiO2/SnO2,1.2583664222461326
categorical__HTL_grouped_PTAA,1.0869133144508523,HTL_grouped_PTAA,1.0869133144508523
categorical__ETL_grouped_C60/SnO2,1.0448212726399233,ETL_grouped_C60/SnO2,1.0448212726399233
categorical__halide_family_I,0.9625491312540452,halide_family_I,0.9625491312540452
categorical__ETL_grouped_SnO2,0.936758404467455,ETL_grouped_SnO2,0.936758404467455
categorical__HTL_grouped_NiOx/MeO-2PACz,0.9074454360442271,HTL_grouped_NiOx/MeO-2PACz,0.9074454360442271
categorical__HTL_grouped_OTHER,0.8540617935811063,HTL_grouped_OTHER,0.8540617935811063
categorical__ETL_grouped_PC61BM/BCP,0.8403472519451176,ETL_grouped_PC61BM/BCP,0.8403472519451176
categorical__halide_family_Cl,-0.815378424012778,halide_family_Cl,0.815378424012778
categorical__HTL_grouped_PTAA/PFN-Br,0.6531454684002701,HTL_grouped_PTAA/PFN-Br,0.6531454684002701
categorical__halide_family_Br+Cl,0.6456878677245079,halide_family_Br+Cl,0.6456878677245079
categorical__HTL_grouped_MeO-2PACz,0.5561525421679436,HTL_grouped_MeO-2PACz,0.5561525421679436
categorical__ETL_grouped_LiF/C60/BCP,0.5268068074056498,ETL_grouped_LiF/C60/BCP,0.5268068074056498
categorical__architecture_final_NIP,-0.5100962896925954,architecture_final_NIP,0.5100962896925954
categorical__architecture_final_PIN,0.5100962896901203,architecture_final_PIN,0.5100962896901203
categorical__ETL_grouped_TiO2/SnO2,-0.4772139953873364,ETL_grouped_TiO2/SnO2,0.4772139953873364
categorical__ETL_grouped_compact/mesoporous TiO2,-0.45107109364787845,ETL_grouped_compact/mesoporous TiO2,0.45107109364787845
categorical__cation_family_MA,-0.40491775257090046,cation_family_MA,0.40491775257090046
categorical__HTL_grouped_P3HT,-0.39081219976189946,HTL_grouped_P3HT,0.39081219976189946
categorical__ETL_grouped_C60/BCP,0.2976562968038567,ETL_grouped_C60/BCP,0.2976562968038567
categorical__ETL_grouped_bl-TiO2/mp-TiO2,0.2971809535411716,ETL_grouped_bl-TiO2/mp-TiO2,0.2971809535411716
categorical__halide_family_OTHER_OR_UNCLEAR,0.24387166492768983,halide_family_OTHER_OR_UNCLEAR,0.24387166492768983
categorical__ETL_grouped_SnO2/PCBA,0.2323000430404642,ETL_grouped_SnO2/PCBA,0.2323000430404642
categorical__halide_family_I+Br,0.203652017022086,halide_family_I+Br,0.203652017022086
categorical__HTL_grouped_NiOx,0.20250805609140113,HTL_grouped_NiOx,0.20250805609140113
categorical__HTL_grouped_NiOx/PTAA,-0.2016764763368862,HTL_grouped_NiOx/PTAA,0.2016764763368862
numeric__year,0.16932412747640732,year,0.16932412747640732
categorical__ETL_grouped_TiO2,0.15674158836267463,ETL_grouped_TiO2,0.15674158836267463
categorical__ETL_grouped_PC61BM,-0.14791617102727317,ETL_grouped_PC61BM,0.14791617102727317
categorical__ETL_grouped_OTHER,0.09082791037544885,ETL_grouped_OTHER,0.09082791037544885
categorical__ETL_grouped_PCBM/BCP,0.025912202599542702,ETL_grouped_PCBM/BCP,0.025912202599542702
