feature,importance_mean,importance_std
has_Pb,0.28231066679645667,0.010781286236492348
HTL_grouped,0.11861004099142788,0.005255912460582409
has_FA,0.0748905285836311,0.004054088927215479
has_Br,0.045648777641915744,0.0033727639849920957
mixed_halide,0.043222488938913575,0.0029350430077506326
halide_family,0.02851900213864157,0.0027293642966887068
cation_family,0.024627857000737698,0.001436723384668594
has_Sn,0.02456891869125318,0.002373756079382754
ETL_grouped,0.023284932591166672,0.0024245734105127906
architecture_final,0.02278297405938584,0.0020204026743556596
mixed_FA_MA_Cs,0.01092498406240679,0.0017534091691697759
has_MA,0.010469854573965437,0.0021622963773932947
has_Cl,0.009968145385023552,0.001043145718951035
year,0.007713103773033159,0.0008162131254811311
Pb_Sn_mixed_detected,0.003489021741697734,0.000925641131542283
lead_status_final,0.0012053319659033612,0.0012365125473203513
has_Cs,0.00039484121288411165,0.00010563938609219384
has_I,0.0003641758127687633,0.0010675024094460356
